Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
07/17/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	3
07/17/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	526
07/17/22	Cg	yH001	wt	PO	45 min	2 hr	20 mM	1000	188
07/17/22	Cg	yH001	wt	PO	45 min	2 hr	40 mM	1000	164
07/17/22	Cg	yH001	wt	PO	45 min	2 hr	60 mM	1000	123
07/17/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	82
07/17/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	43
07/17/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	539
07/17/22	Cg	yH002	wt	MO	45 min	2 hr	20 mM	1000	129
07/17/22	Cg	yH002	wt	MO	45 min	2 hr	40 mM	1000	67
07/17/22	Cg	yH002	wt	MO	45 min	2 hr	60 mM	1000	23
07/17/22	Cg	yH002	wt	MO	45 min	2 hr	80 mM	1000	5
07/17/22	Cg	yH002	wt	MO	45 min	2 hr	100 mM	1000	3
07/17/22	Cg	yH002	wt	PM	45 min	2 hr	0 mM	1000	493
07/17/22	Cg	yH002	wt	PO	45 min	2 hr	20 mM	1000	142
07/17/22	Cg	yH002	wt	PO	45 min	2 hr	40 mM	1000	156
07/17/22	Cg	yH002	wt	PO	45 min	2 hr	60 mM	1000	90
07/17/22	Cg	yH002	wt	PO	45 min	2 hr	80 mM	1000	81
07/17/22	Cg	yH002	wt	PO	45 min	2 hr	100 mM	1000	50
07/16/22	Cg	yH001	wt	MM	45 min	2 hr	0 mM	1000	509
07/16/22	Cg	yH001	wt	MO	45 min	2 hr	20 mM	1000	84
07/16/22	Cg	yH001	wt	MO	45 min	2 hr	40 mM	1000	62
07/16/22	Cg	yH001	wt	MO	45 min	2 hr	60 mM	1000	16
07/16/22	Cg	yH001	wt	MO	45 min	2 hr	80 mM	1000	3
07/16/22	Cg	yH001	wt	MO	45 min	2 hr	100 mM	1000	1
07/16/22	Cg	yH001	wt	PM	45 min	2 hr	0 mM	1000	497
07/16/22	Cg	yH001	wt	PO	45 min	2 hr	20 mM	1000	176
07/16/22	Cg	yH001	wt	PO	45 min	2 hr	40 mM	1000	140
07/16/22	Cg	yH001	wt	PO	45 min	2 hr	60 mM	1000	142
07/16/22	Cg	yH001	wt	PO	45 min	2 hr	80 mM	1000	82
07/16/22	Cg	yH001	wt	PO	45 min	2 hr	100 mM	1000	55
07/16/22	Cg	yH002	wt	MM	45 min	2 hr	0 mM	1000	598
