Date,Species,Strain,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d080222,yH154,Sc,wt,MO,45min,2hr,4mM,1000,9,0.03797468354,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,6mM,1000,18,0.07594936709,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,8mM,500,9,0.01898734177,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,10mM,500,16,0.03375527426,,JL
d080222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,259,,1,JL
d080222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,21,,0.08108108108,JL
d080222,yH154,Sc,wt,PO,45min,2hr,4mM,1000,18,,0.0694980695,JL
d080222,yH154,Sc,wt,PO,45min,2hr,6mM,1000,21,,0.08108108108,JL
d080222,yH154,Sc,wt,PO,45min,2hr,8mM,500,16,,0.03088803089,JL
d080222,yH154,Sc,wt,PO,45min,2hr,10mM,500,9,,0.01737451737,JL
d080422,yH001,Cg,wt,MM,45min,2hr,Mock,1000,671,1,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,20mM,1000,144,0.2146050671,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,40mM,1000,104,0.1549925484,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,60mM,1000,31,0.04619970194,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,80mM,1000,9,0.01341281669,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,100mM,1000,3,0.004470938897,,JL
d080422,yH001,Cg,wt,PM,45min,2hr,Mock,1000,500,,1,JL
d080422,yH001,Cg,wt,PO,45min,2hr,20mM,1000,173,,0.346,JL
d080422,yH001,Cg,wt,PO,45min,2hr,40mM,1000,135,,0.27,JL
d080422,yH001,Cg,wt,PO,45min,2hr,60mM,1000,147,,0.294,JL
d080422,yH001,Cg,wt,PO,45min,2hr,80mM,1000,99,,0.198,JL
d080422,yH001,Cg,wt,PO,45min,2hr,100mM,1000,72,,0.144,JL
d080422,yH154,Sc,wt,MM,45min,2hr,Mock,1000,379,1,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,2mM,1000,18,0.04749340369,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,4mM,1000,23,0.06068601583,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,6mM,1000,7,0.01846965699,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,8mM,500,21,0.02770448549,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,10mM,500,6,0.007915567282,,JL
d080422,yH154,Sc,wt,PM,45min,2hr,Mock,1000,402,,1,JL
d080422,yH154,Sc,wt,PO,45min,2hr,2mM,1000,18,,0.0447761194,JL
d080422,yH154,Sc,wt,PO,45min,2hr,4mM,1000,36,,0.08955223881,JL
d080422,yH154,Sc,wt,PO,45min,2hr,6mM,1000,10,,0.02487562189,JL
d080422,yH154,Sc,wt,PO,45min,2hr,8mM,500,22,,0.02736318408,JL
d080422,yH154,Sc,wt,PO,45min,2hr,10mM,500,12,,0.01492537313,JL
d081122,yH001,Cg,wt,MM,45min,2hr,Mock,1000,714,1,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,20mM,1000,128,0.1792717087,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,40mM,1000,72,0.1008403361,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,60mM,1000,31,0.04341736695,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,80mM,1000,14,0.01960784314,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,100mM,1000,8,0.01120448179,,JL
d081122,yH001,Cg,wt,PM,45min,2hr,Mock,1000,402,,1,JL
d081122,yH001,Cg,wt,PO,45min,2hr,20mM,1000,115,,0.2860696517,JL
d081122,yH001,Cg,wt,PO,45min,2hr,40mM,1000,125,,0.3109452736,JL
d081122,yH001,Cg,wt,PO,45min,2hr,60mM,1000,101,,0.2512437811,JL
d081122,yH001,Cg,wt,PO,45min,2hr,80mM,1000,67,,0.1666666667,JL
d081122,yH001,Cg,wt,PO,45min,2hr,100mM,1000,55,,0.1368159204,JL
d081122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,291,1,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,13,0.04467353952,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,4mM,1000,11,0.03780068729,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,6mM,1000,9,0.03092783505,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,8mM,500,11,0.01890034364,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,10mM,500,7,0.01202749141,,JL
d081122,yH154,Sc,wt,PM,45min,2hr,Mock,1000,256,,1,JL
