Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,50,600.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28587,50,571.740,95.290,95.290,537482,121042,508044,111754,422997,101329,155853.01,45534.19,29.00,37.62,159486.24,35896.71,31.39,32.12
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14260,50,285.200,47.533,99.790,487506,495918,468754,473315,455666,433169,119386.27,139643.03,24.49,28.16,116403.37,140615.71,24.83,29.71
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,14290,50,285.800,47.633,47.633,488181,496696,469261,473740,455666,433169,120234.32,140553.51,24.63,28.30,116711.01,141339.22,24.87,29.83
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,14260,50,285.200,47.533,47.533,4423,N/A,3775,N/A,4849,N/A,2696.91,N/A,60.98,N/A,2001.51,N/A,53.02,N/A
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,14290,50,285.800,47.633,49.988,488181,86,469261,84,455666,86,120234.32,8.90,24.63,10.37,116711.01,8.90,24.87,10.59
d012723-0min-rim15-B1-R3,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28587,50,571.740,95.290,95.290,537482,107,508044,97,422997,86,155853.01,33.16,29.00,31.07,159486.24,22.24,31.39,22.93
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,48,625.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28406,48,591.792,94.687,94.687,553240,119658,526770,112348,484282,113616,153630.44,42716.95,27.77,35.70,159805.00,34213.22,30.34,30.45
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14422,48,300.458,48.073,99.848,500419,509237,486325,490191,465933,478144,115707.59,137059.87,23.12,26.91,115842.21,140274.71,23.82,28.62
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,14444,48,300.917,48.147,48.147,500901,509769,486608,490472,465933,478144,116300.50,137654.26,23.22,27.00,116186.91,140698.74,23.88,28.69
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,14422,48,300.458,48.073,48.073,3998,N/A,3536,N/A,3823,N/A,2328.96,N/A,58.26,N/A,1802.84,N/A,50.99,N/A
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,14444,48,300.917,48.147,50.848,500901,87,486608,85,465933,86,116300.50,9.06,23.22,10.46,116186.91,8.90,23.88,10.47
d012723-0min-rim15-B1-R3,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28406,48,591.792,94.687,94.687,553240,107,526770,98,484282,86,153630.44,33.27,27.77,30.97,159805.00,23.72,30.34,24.21
d012723-0min-rim15-B1-R3,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,54,555.556,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
