Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,43,697.674,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,27668,43,643.442,92.227,92.227,493349,146205,461381,133045,375841,105450,156629.06,60875.45,31.75,41.64,153116.99,54932.55,33.19,41.29
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12278,43,285.535,40.927,99.635,441337,461872,424429,436291,410758,392136,109418.47,133991.98,24.79,29.01,107353.58,128021.77,25.29,29.34
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,12323,43,286.581,41.077,41.077,442507,463573,424897,436895,410758,392136,110965.67,136693.41,25.08,29.49,107860.63,128833.49,25.39,29.49
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,12278,43,285.535,40.927,40.927,4878,N/A,3930,N/A,4743,N/A,3492.45,N/A,71.60,N/A,2248.36,N/A,57.22,N/A
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,12323,43,286.581,41.077,44.539,442507,87,424897,85,410758,86,110965.67,7.40,25.08,8.55,107860.63,7.41,25.39,8.72
d011123-0min-rim15-B1-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,27668,43,643.442,92.227,92.227,493349,109,461381,98,375841,86,156629.06,36.36,31.75,33.28,153116.99,20.76,33.19,21.18
d011123-0min-rim15-B1-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,48,625.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d011123-0min-rim15-B1-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27458,48,572.042,91.527,91.527,549419,122211,520045,113615,482334,107502,164032.22,46210.04,29.86,37.81,169886.68,36757.36,32.67,32.35
d011123-0min-rim15-B1-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12993,48,270.688,43.310,99.977,470658,488460,462363,474747,482424,459830,107779.59,127916.74,22.90,26.19,104601.88,127591.07,22.62,26.88
