Sample,group_name,treat,time_1_min,time_2_min,time_3_min
A1,wt,H2O2,0,90,180
B1,wt,H2O2,0,90,180
C1,msn4_ko,H2O2,0,90,180
D1,msn4_ko,H2O2,0,90,180
E1,msn4_ko,H2O2,0,90,180
F1,skn7_ko,H2O2,0,90,180
G1,skn7_ko,H2O2,0,90,180
H1,skn7_ko,H2O2,0,90,180
A2,msn4skn7_ko,H2O2,0,90,180
B2,msn4skn7_ko,H2O2,0,90,180
C2,msn4skn7_ko,H2O2,0,90,180
D2,,,,,
E2,,,,,
F2,,,,,
G2,,,,,
H2,,,,,
A3,wt,0Pi,0,90,180
B3,wt,0Pi,0,90,180
C3,msn4_ko,0Pi,0,90,180
D3,msn4_ko,0Pi,0,90,180
E3,msn4_ko,0Pi,0,90,180
F3,skn7_ko,0Pi,0,90,180
G3,skn7_ko,0Pi,0,90,180
H3,skn7_ko,0Pi,0,90,180
A4,msn4skn7_ko,0Pi,0,90,180
B4,msn4skn7_ko,0Pi,0,90,180
C4,msn4skn7_ko,0Pi,0,90,180
D4,,,,,
E4,,,,,
F4,,,,,
G4,,,,,
H4,,,,,
A5,wt,H2O2,30,120,210
B5,wt,H2O2,30,120,210
C5,msn4_ko,H2O2,30,120,210
D5,msn4_ko,H2O2,30,120,210
E5,msn4_ko,H2O2,30,120,210
F5,skn7_ko,H2O2,30,120,210
G5,skn7_ko,H2O2,30,120,210
H5,skn7_ko,H2O2,30,120,210
A6,msn4skn7_ko,H2O2,30,120,210
B6,msn4skn7_ko,H2O2,30,120,210
C6,msn4skn7_ko,H2O2,30,120,210
D6,,,,,
E6,,,,,
F6,,,,,
G6,,,,,
H6,,,,,
A7,wt,0Pi,30,120,210
B7,wt,0Pi,30,120,210
C7,msn4_ko,0Pi,30,120,210
D7,msn4_ko,0Pi,30,120,210
E7,msn4_ko,0Pi,30,120,210
F7,skn7_ko,0Pi,30,120,210
G7,skn7_ko,0Pi,30,120,210
H7,skn7_ko,0Pi,30,120,210
A8,msn4skn7_ko,0Pi,30,120,210
B8,msn4skn7_ko,0Pi,30,120,210
C8,msn4skn7_ko,0Pi,30,120,210
D8,,,,,
E8,,,,,
F8,,,,,
G8,,,,,
H8,,,,,
A9,wt,H2O2,60,150,240
B9,wt,H2O2,60,150,240
C9,msn4_ko,H2O2,60,150,240
D9,msn4_ko,H2O2,60,150,240
E9,msn4_ko,H2O2,60,150,240
F9,skn7_ko,H2O2,60,150,240
G9,skn7_ko,H2O2,60,150,240
H9,skn7_ko,H2O2,60,150,240
A10,msn4skn7_ko,H2O2,60,150,240
B10,msn4skn7_ko,H2O2,60,150,240
C10,msn4skn7_ko,H2O2,60,150,240
D10,,,,,
E10,,,,,
F10,,,,,
G10,,,,,
H10,,,,,
A11,wt,0Pi,60,150,240
B11,wt,0Pi,60,150,240
C11,msn4_ko,0Pi,60,150,240
D11,msn4_ko,0Pi,60,150,240
E11,msn4_ko,0Pi,60,150,240
F11,skn7_ko,0Pi,60,150,240
G11,skn7_ko,0Pi,60,150,240
H11,skn7_ko,0Pi,60,150,240
A12,msn4skn7_ko,0Pi,60,150,240
B12,msn4skn7_ko,0Pi,60,150,240
C12,msn4skn7_ko,0Pi,60,150,240
D12,,,,,
E12,,,,,
F12,,,,,
G12,,,,,
H12,,,,,
