"genotype","pi.max","pi.max.Rtowt","h2o2.max","h2o2.max.Rtowt"
"msn4_ko",23227,0.616493258307676,80826,0.880457516339869
"msn4skn7_ko",15647,0.415304172417454,4165,0.0453703703703704
"skn7_ko",24001,0.63703684042892,5812,0.0633115468409586
"wt",37676,1,91800,1
