Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,cell,FSC-H,SSC-H,28315,113,250.575,94.383,94.383,562816,139646,543701,130578,414781,105400,146322.53,45817.08,26.00,32.81,169312.92,39632.86,31.14,30.35
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,17108,113,151.398,57.027,99.965,509329,535891,493963,517217,416707,459906,110813.43,132862.21,21.76,24.79,122558.39,148680.31,24.81,28.75
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,single cell,FSC-H,FSC-A,17114,113,151.451,57.047,57.047,509437,536031,493999,517246,416707,459906,110946.04,133051.75,21.78,24.82,122605.09,148752.22,24.82,28.76
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,CTA1-GFP,BL1-H,,17108,113,151.398,57.027,57.027,8112,N/A,7653,N/A,8115,N/A,3517.80,N/A,43.36,N/A,3041.55,N/A,39.75,N/A
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,single cell,FSC-H,FSC-W,17114,113,151.451,57.047,60.441,509437,91,493999,89,416707,87,110946.04,8.05,21.78,8.89,122605.09,7.41,24.82,8.33
d121721-0min-0Pi-gtr1-R2,0min,0min,G4.fcs,G4,Experiment,None,,cell,FSC-H,FSC-W,28315,113,250.575,94.383,94.383,562816,104,543701,97,414781,87,146322.53,28.02,26.00,27.07,169312.92,16.31,31.14,16.81
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,N/A,All Events,N/A,N/A,30000,27,1111.111,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,SSC-H,24465,27,906.111,81.550,81.550,600216,182978,621298,178616,662662,156662,175076.70,61996.20,29.17,33.88,183047.72,62536.07,29.46,35.01
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,11030,27,408.519,36.767,99.459,550046,580523,557801,587291,558007,719701,133093.31,160050.76,24.20,27.57,146572.06,182213.76,26.28,31.03
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-A,11090,27,410.741,36.967,36.967,551443,582386,558322,588510,558007,719701,134100.15,161613.87,24.32,27.75,147482.37,183356.85,26.42,31.16
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,BL1-H,,11030,27,408.519,36.767,36.767,25579,N/A,24332,N/A,27459,N/A,10888.08,N/A,42.57,N/A,9855.58,N/A,40.50,N/A
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-W,11090,27,410.741,36.967,45.330,551443,90,558322,89,558007,87,134100.15,9.52,24.32,10.56,147482.37,10.38,26.42,11.66
d121721-120min-0Pi-gtr1-R2,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,FSC-W,24465,27,906.111,81.550,81.550,600216,114,621298,103,662662,87,175076.70,46.11,29.17,40.41,183047.72,25.20,29.46,24.47
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,,cell,FSC-H,SSC-H,24636,36,684.333,82.120,82.120,614998,185709,642189,183085,711637,169026,175720.41,62027.66,28.57,33.40,177106.20,62562.75,27.58,34.17
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,10913,36,303.139,36.377,99.598,557150,590312,570731,604144,595056,586733,132386.80,159048.25,23.76,26.94,146947.90,181442.07,25.75,30.03
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,,single cell,FSC-H,FSC-A,10957,36,304.361,36.523,36.523,558138,591670,571293,604933,595056,586733,133054.35,160170.75,23.84,27.07,147546.87,182349.42,25.83,30.14
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,,CTA1-GFP,BL1-H,,10913,36,303.139,36.377,36.377,26131,N/A,24915,N/A,24483,N/A,11212.03,N/A,42.91,N/A,10100.95,N/A,40.54,N/A
d121721-120min-0Pi-gtr1-R2,120min,120min,A6.fcs,A6,Experiment,None,,single cell,FSC-H,FSC-W,10957,36,304.361,36.523,44.476,558138,91,571293,91,595056,92,133054.35,9.49,23.84,10.38,147546.87,10.38,25.83,11.40
