GeneID	S3	S4	S19	S20	S20prime
CAGL0A03740g	31	41	632	956	1153
CAGL0A03784g	158	203	170	205	270
CAGL0A03806g	1	0	2	6	1
CAGL0A03828g	248	322	144	163	209
CAGL0A03872g	475	612	2040	2957	3336
CAGL0A03883g	141	161	229	393	462
CAGL0A03905g	76	153	303	1150	1543
CAGL0A03927g	476	543	976	2112	2627
CAGL0A03949g	322	453	803	1017	1353
CAGL0A03971g	241	300	89	107	153
CAGL0A03993g	144	227	186	231	331
CAGL0A04015g	3785	4891	236	332	397
CAGL0A04037g	702	1002	130	335	471
CAGL0A04059g	813	1108	577	1242	1590
CAGL0A04081g	499	681	1041	1724	2387
CAGL0A04103g	263	350	1292	1884	2416
CAGL0A04125g	2315	2909	998	1351	1840
CAGL0A04147g	82	119	276	395	488
CAGL0A04169g	540	723	709	1058	1263
CAGL0A04191g	451	568	365	798	1173
CAGL0A04213g	672	863	229	313	315
CAGL0A04235g	292	377	414	540	687
CAGL0A04257g	856	1117	102	139	136
CAGL0A04279g	210	303	215	457	582
CAGL0A04301g	325	440	1191	1555	1935
CAGL0A04323g	297	401	405	577	722
CAGL0A04345g	499	597	1353	1714	2251
CAGL0A04367g	91	93	120	132	137
CAGL0A04389g	192	223	449	493	674
CAGL0A04411g	337	407	284	328	417
CAGL0A04433g	659	832	3725	4980	6677
CAGL0A04455g	381	488	1326	1761	2073
CAGL0A04477g	210	246	599	816	1155
CAGL0A04499g	128	212	50	55	78
CAGL0A04521g	19671	23872	688	850	1163
CAGL0A04543g	381	507	246	332	404
CAGL0A04565g	804	952	620	892	1085
CAGL0A04587g	57	74	49	73	73
CAGL0A04631g	345	449	109	112	154
CAGL0A04653g	310	331	571	728	801
CAGL0A04675g	20	33	324	470	625
CAGL0A04697g	226	334	1059	1411	1800
CAGL0A04719g	859	1072	1655	2211	2784
CAGL0A04741g	1365	1807	1699	2161	2744
CAGL0A04785g	670	796	1194	1547	1962
CAGL0A04807g	484	622	942	1164	1470
CAGL0A04829g	956	1197	6496	7287	9805
CAGL0B00286g	571	851	247	345	409
CAGL0B00308g	229	306	219	262	355
CAGL0B00330g	472	578	363	446	595
CAGL0B00352g	790	990	47	54	74
CAGL0B00374g	241	309	30	41	45
CAGL0B00396g	586	649	1022	1329	1779
CAGL0B00418g	676	922	992	1298	1484
CAGL0B00440g	669	946	814	1040	1337
CAGL0B00462g	3	7	10	6	4
CAGL0B00484g	1006	1139	141	196	223
CAGL0B00506g	323	421	450	539	714
CAGL0B00528g	206	249	307	400	489
CAGL0B00550g	1122	1285	411	490	552
CAGL0B00572g	4	3	6	2	9
CAGL0B00594g	2704	3670	2562	3349	4545
CAGL0B00616g	15	7	26	42	41
CAGL0B00638g	93	146	129	176	166
CAGL0B00660g	694	841	881	1194	1421
CAGL0B00682g	207	285	406	579	718
CAGL0B00704g	2752	3195	4214	5379	6710
CAGL0B00715g	0	4	4	0	6
CAGL0B00726g	3	6	15	21	28
CAGL0B00748g	268	295	1237	1572	1971
CAGL0B00770g	184	285	944	1269	1524
CAGL0B00792g	1592	1932	35	34	51
CAGL0B00814g	335	444	1508	2375	3112
CAGL0B00836g	253	347	176	233	266
CAGL0B00858g	178	231	448	586	785
CAGL0B00880g	424	513	136	168	197
CAGL0B00902g	808	1061	2245	2907	4033
CAGL0B00924g	78	86	123	192	224
CAGL0B00946g	544	759	1555	2017	2494
CAGL0B00968g	13	6	7	16	12
CAGL0B00990g	100	216	529	736	916
CAGL0B01012g	11	7	9	16	7
CAGL0B01078g	35	51	825	999	1183
CAGL0B01100g	209	289	569	1228	1609
CAGL0B01122g	7699	9501	124	140	172
CAGL0B01144g	174	270	474	711	935
CAGL0B01166g	527	652	585	738	1031
CAGL0B01188g	552	691	368	405	499
CAGL0B01203g	9832	11551	395	463	498
CAGL0B01232g	557	701	61	120	154
CAGL0B01265g	6	6	3	3	12
CAGL0B01287g	171	170	134	183	227
CAGL0B01331g	257	313	342	434	590
CAGL0B01353g	398	555	529	782	1002
CAGL0B01375g	1168	1498	1328	1803	2214
CAGL0B01397g	437	554	52	79	119
CAGL0B01419g	612	668	1692	2071	2851
CAGL0B01441g	744	1063	661	973	1348
CAGL0B01463g	452	565	235	310	405
CAGL0B01485g	301	405	74	95	144
CAGL0B01507g	225	297	130	152	173
CAGL0B01529g	74	83	298	419	488
CAGL0B01551g	446	628	792	1081	1284
CAGL0B01573g	223	317	129	141	217
CAGL0B01589g	225	286	316	390	496
CAGL0B01595g	58	52	504	637	795
CAGL0B01617g	260	251	304	404	510
CAGL0B01639g	252	336	704	880	1017
CAGL0B01683g	920	1232	844	1014	1190
CAGL0B01705g	170	202	186	293	342
CAGL0B01727g	126	201	274	409	454
CAGL0B01743g	52	56	237	309	389
CAGL0B01771g	320	400	123	139	160
CAGL0B01793g	312	366	479	620	697
CAGL0B01815g	477	558	690	891	1091
CAGL0B01837g	414	511	253	333	473
CAGL0B01859g	91	129	117	155	211
CAGL0B01875g	1	0	24	43	49
CAGL0B01881g	584	812	56	91	96
CAGL0B01903g	350	435	317	384	538
CAGL0B01925g	66	74	746	1062	1285
CAGL0B01947g	1504	2138	502	699	881
CAGL0B01969g	16	23	52	54	75
CAGL0B01991g	111	164	156	186	219
CAGL0B02013g	110	194	294	388	493
CAGL0B02035g	1175	1443	3497	4441	5924
CAGL0B02057g	44	55	49	59	54
CAGL0B02079g	1	0	1	2	3
CAGL0B02101g	149	195	403	495	656
CAGL0B02123g	187	223	317	399	531
CAGL0B02137r	10	15	7	5	8
CAGL0B02145g	380	422	174	204	256
CAGL0B02167g	544	660	1225	1532	1931
CAGL0B02189g	1430	1776	1446	1931	2322
CAGL0B02211g	211	274	297	368	502
CAGL0B02233g	181	170	242	265	353
