GeneID	S3	S4	S19	S20	S20prime
CAGL0I10648g	11.440397045312963	11.321444586200249	8.872564059007535	8.415627721414841	8.480022858234598
CAGL0I10670g	7.052170021531427	7.185521010955091	3.1899947566435296	3.399424001439782	3.2392749712289484
CAGL0I10725g	6.029691730234763	5.8901841169801035	6.75809270484153	6.673504173813304	6.6501853588321085
CAGL0I10747g	7.30562008918603	7.26218654507747	7.0923997389203874	6.964352293045228	6.945481666106832
CAGL0I10769g	5.9903424663774265	6.161215056668521	5.91664063987009	5.661469002705347	5.7999879963008505
CAGL0I10791g	5.135663912303655	5.264018051946305	4.800722641047882	4.637093209632651	4.68276195331398
CAGL0I10813g	5.736581611525849	5.949677016116568	5.055638742742718	4.646504602281034	5.133084334584013
CAGL0I10835g	6.740552875334172	6.623198935532555	5.424725971342774	5.4680232603017025	5.340054106894716
CAGL0I10879g	6.305611181986185	6.3253903467836645	5.842736247553547	5.819589793934416	5.796646608581344
CAGL0I10901g	6.481463061665838	6.442974953845977	5.926896013178138	5.764468708101923	5.9061245313799615
CAGL0I10923g	6.5507264633285756	6.341633134850613	7.204130241999016	7.303191985676696	7.372064973698014
CAGL0I10945g	7.284086793693942	7.411993618442236	7.472651038498625	7.659867960352847	7.7008764600562065
CAGL0I10967g	9.380462115035058	9.226628266703788	9.19085919592676	9.061487861603398	9.0845949947501
CAGL0I10989g	5.91529057752009	6.11943342026483	6.140241734124762	6.021155128481054	5.987506963897631
CAGL0J00165g	12.34718648278542	12.191282944444476	6.983618139133185	6.661949480225742	6.767474990391647
CAGL0J00187g	6.04897107904546	6.442974953845977	7.661055733152336	7.695441063769379	7.6999824669977945
CAGL0J00209g	5.767946350783354	5.9229385198879845	3.922113210225598	3.886167424698153	4.226761908567243
CAGL0J00253g	5.798643692423776	6.165783639764431	6.622699938142487	6.585723798650357	6.570254653027618
CAGL0J00275g	7.383623069985773	7.287561208400401	4.844658684543971	4.965064919165334	4.982414419864903
CAGL0J00297g	6.633940674018093	6.990716661685005	5.395484386633882	5.1876798160994895	5.133084334584013
CAGL0J00319g	6.433368238883316	6.321300914333058	5.350479760601308	5.3577531155494516	5.38968802447864
CAGL0J00341g	7.391196333870527	7.5068702056616035	6.149029167139232	6.010261137859222	6.1690217595155294
CAGL0J00363g	3.5506212430716557	3.296536820082596	0.8481968357577782	-0.3574266200452651	0.5380440850188635
CAGL0J00385g	6.939608353593942	6.980380022250837	4.095781000921032	4.0225250428827035	3.954292485474086
CAGL0J00407g	5.970257909602507	5.97592895280369	6.548260187054117	6.5734411401293125	6.447791898112259
CAGL0J00429g	7.852688793154684	7.793333641852471	9.309754705371994	9.316379319524046	9.32361178135376
CAGL0J00451g	4.943013108186792	5.148744191838775	10.354756700674578	10.391626337096218	10.551794147012277
CAGL0J00473g	8.966057924587775	8.89569195782661	4.948978867551368	4.797763654950986	4.934572429961908
CAGL0J00495g	7.493248178601924	7.402347143964182	5.967203688999877	5.844336954949399	5.786575759566911
CAGL0J00517g	3.5862480858751855	3.7257826019757134	3.4957887285228053	2.7668467719965872	3.1789574072763718
CAGL0J00539g	7.058525563243048	6.956848191682582	6.865960403770268	6.769230411568493	6.837436302367772
CAGL0J00561g	9.875370609170762	9.982646025951286	9.149857834372764	8.997193470976494	8.97763409089213
CAGL0J00583g	7.418629722103389	7.268572173965456	9.144924330355453	9.089791481826206	9.062506855158102
CAGL0J00605g	8.749428805602957	8.435560500574285	9.075176082380365	8.980080508767319	9.019440930533696
CAGL0J00627g	6.794854746515712	6.881082622477595	7.503813646655523	7.417548128539898	7.561160672067937
CAGL0J00649g	9.290182341192498	9.213449299146829	5.901119582928898	5.760140095340916	5.993356540806458
CAGL0J00671g	8.1266538135122115	7.897263111748251	7.794454814540879	7.663349108715569	7.6600880371855276
CAGL0J00693g	6.740552875334172	6.993289290968928	7.041395748768026	7.083473075655287	7.01038152336163
CAGL0J00715g	2.4764877408597297	2.917555491265311	2.33119843738909	1.827448724153624	2.1001658851232494
CAGL0J00737g	11.467814659544167	11.292100501118881	7.135042628008798	6.7927313178499915	7.00460070821429
CAGL0J00759g	8.102252384021527	8.06194565991655	7.431826791368055	7.412040564126942	7.344870560392982
CAGL0J00781g	8.16691782249058	8.119599338260423	7.391665934623474	7.474142600700114	7.409733498936807
CAGL0J00803g	6.2567009672135665	6.304826271129167	8.578607909787069	8.686462626079239	8.468519992738143
CAGL0J00825g	6.117536353337789	6.210690977456467	7.661055733152336	7.979518800234521	8.092882022190137
CAGL0J00847g	9.758242326279357	9.635601048503325	9.565804112375853	10.324135586886374	10.338011505086293
CAGL0J00869g	5.358062059791845	5.862309002186419	1.983642854545619	2.46030948608702	2.512322702184289
CAGL0J00891g	7.068006685497349	7.090203176612453	3.6768304400630796	3.717816558743139	3.8677780782130338
CAGL0J00913g	3.901144427514437	3.8445188771405316	3.046877708535242	3.854032281239317	3.524243931161717
CAGL0J00935g	6.794854746515712	6.903138968511351	6.412534265941441	6.4738689809460395	6.635297989442636
CAGL0J00957g	8.657170081527749	8.698549762642388	4.330186722259664	4.6835479803762645	4.395289846539948
CAGL0J00968g	5.123590743169919	5.111339049446968	4.131690815951144	3.567385885106057	3.8026431272905583
CAGL0J01001g	5.22877582188932	5.264018051946305	6.938713885078243	7.037713697473592	7.112005554316114
CAGL0J01023g	5.752349214647127	5.597344015258576	0.20645937914506574	-0.6950200343349583	0.40393568987703704
CAGL0J01045g	7.6466588822140595	7.530088523230984	2.709398839239356	2.621704316461299	2.7519993135511536
CAGL0J01067g	6.240022011779081	6.11943342026483	5.536102913392283	5.446633206027844	5.446226272423453
CAGL0J01089g	5.495568706887696	5.769307061223436	5.17229806195628	5.2933083797365095	5.385245752999927
CAGL0J01111g	6.85815787323941	6.927555851243424	6.792149887120224	7.006989710027886	6.911903029988503
CAGL0J01155g	7.680017639891201	7.711330459580296	6.871280521557997	6.894977936731201	6.907262968573563
CAGL0J01177g	5.603823855375931	5.960235182696745	5.319677303505478	5.305241757094093	5.420406725685977
CAGL0J01199g	6.092978900682037	6.051934806236747	6.628995044843258	6.588167831536341	6.498031150920456
CAGL0J01221g	5.135663912303655	5.111339049446968	4.811832728117532	4.814559586598665	5.034405845913129
CAGL0J01243g	4.915267228199019	4.940568716131121	4.9287095813710815	4.814559586598665	4.767127227007803
