Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,41,731.707,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28437,41,693.585,94.790,94.790,461460,141884,426763,128184,369680,119805,147950.25,57808.02,32.06,40.74,136983.34,48976.21,32.10,38.21
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13673,41,333.488,45.577,99.832,422305,436365,402195,409626,373645,363424,105447.18,127870.25,24.97,29.30,99864.97,118118.74,24.83,28.84
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,13696,41,334.049,45.653,45.653,422844,437150,402419,409747,373645,363424,106228.53,129220.55,25.12,29.56,99979.13,118347.80,24.84,28.88
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,13673,41,333.488,45.577,45.577,4403,N/A,3662,N/A,5162,N/A,2972.39,N/A,67.51,N/A,2032.64,N/A,55.51,N/A
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,13696,41,334.049,45.653,48.163,422844,86,402419,84,373645,87,106228.53,7.12,25.12,8.32,99979.13,7.41,24.84,8.82
d012023-0min-rim15-B2-R1,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28437,41,693.585,94.790,94.790,461460,105,426763,95,369680,86,147950.25,33.20,32.06,31.76,136983.34,17.79,32.10,18.73
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,46,652.174,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28124,46,611.391,93.747,93.747,533109,119628,504377,111516,426983,121857,165835.19,45284.68,31.11,37.85,169292.16,37827.80,33.56,33.92
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13686,46,297.522,45.620,99.985,457876,472829,449281,458554,427047,433137,107951.01,127208.14,23.58,26.90,104287.56,126369.41,23.21,27.56
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,13688,46,297.565,45.627,45.627,457934,472896,449287,458564,427047,433137,108052.75,127322.29,23.60,26.92,104329.08,126374.60,23.22,27.56
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,13686,46,297.522,45.620,45.620,3475,N/A,2917,N/A,3902,N/A,2362.53,N/A,68.00,N/A,1718.33,N/A,58.91,N/A
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,13688,46,297.565,45.627,48.670,457934,88,449287,87,427047,86,108052.75,7.85,23.60,8.95,104329.08,7.41,23.22,8.52
d012023-0min-rim15-B2-R1,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28124,46,611.391,93.747,93.747,533109,109,504377,99,426983,87,165835.19,33.98,31.11,31.19,169292.16,22.24,33.56,22.46
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,27568,40,689.200,91.893,91.893,554995,118143,525224,110351,459695,93135,157857.41,42961.80,28.44,36.36,159469.19,34394.10,30.36,31.17
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12713,40,317.825,42.377,99.898,492969,505183,480449,486009,429059,492539,114000.12,134670.02,23.13,26.66,109292.82,132163.41,22.75,27.19
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,12726,40,318.150,42.420,42.420,493272,505533,480688,486167,429059,492539,114388.80,135063.12,23.19,26.72,109348.42,132305.74,22.75,27.21
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,12713,40,317.825,42.377,42.377,3968,N/A,3435,N/A,4278,N/A,2371.31,N/A,59.76,N/A,1752.43,N/A,51.02,N/A
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-W,12726,40,318.150,42.420,46.162,493272,88,480688,86,429059,86,114388.80,8.29,23.19,9.45,109348.42,7.41,22.75,8.62
d012023-0min-rim15-B2-R1,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,FSC-W,27568,40,689.200,91.893,91.893,554995,111,525224,101,459695,86,157857.41,34.19,28.44,30.88,159469.19,23.72,30.36,23.49
