Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,B4,Experiment,None,,High_ROS,BL1-H,,3074,70,43.914,4.496,10.069,1227,N/A,1149,N/A,1012,N/A,538.87,N/A,43.91,N/A,144.55,N/A,12.59
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,C4,Experiment,None,,High_ROS,BL1-H,,5478,75,73.04,7.609,17.834,1261,N/A,1175,N/A,1013,N/A,491.9,N/A,39.02,N/A,170.5,N/A,14.51
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,D4,Experiment,None,,High_ROS,BL1-H,,8008,92,87.043,11.155,26.313,1294,N/A,1208,N/A,1013,N/A,597.72,N/A,46.2,N/A,200.15,N/A,16.57
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,E4,Experiment,None,,High_ROS,BL1-H,,8945,91,98.297,13.609,29.295,1303,N/A,1216,N/A,1013,N/A,681.68,N/A,52.33,N/A,204.6,N/A,16.83
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,F4,Experiment,None,,High_ROS,BL1-H,,8077,105,76.924,12.313,26.408,1584,N/A,1223,N/A,1012,N/A,4925.75,N/A,310.89,N/A,217.94,N/A,17.82
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,G4,Experiment,None,,High_ROS,BL1-H,,7072,113,62.584,11.308,23.3,9981,N/A,1602,N/A,1047,N/A,18700.02,N/A,187.36,N/A,811.72,N/A,50.69
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,H4,Experiment,None,,High_ROS,BL1-H,,2773,72,38.514,4.08,9.013,1261,N/A,1147,N/A,1013,N/A,1188.2,N/A,94.22,N/A,143.81,N/A,12.54
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,A6,Experiment,None,,High_ROS,BL1-H,,5305,47,112.872,7.908,17.235,1250,N/A,1171,N/A,1024,N/A,501.3,N/A,40.09,N/A,170.5,N/A,14.56
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,B6,Experiment,None,,High_ROS,BL1-H,,3786,50,75.72,5.526,12.136,1362,N/A,1165,N/A,1036,N/A,1816.42,N/A,133.38,N/A,161.6,N/A,13.87
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,C6,Experiment,None,,High_ROS,BL1-H,,7547,60,125.783,10.797,24.673,1329,N/A,1197,N/A,1037,N/A,1564.52,N/A,117.72,N/A,189.77,N/A,15.85
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,D6,Experiment,None,,High_ROS,BL1-H,,9043,66,137.015,13.423,29.681,1370,N/A,1213,N/A,1036,N/A,2593.5,N/A,189.26,N/A,204.6,N/A,16.87
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,E6,Experiment,None,,High_ROS,BL1-H,,8994,68,132.265,14.345,29.08,1304,N/A,1214,N/A,1048,N/A,735,N/A,56.35,N/A,204.6,N/A,16.85
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,F6,Experiment,None,,High_ROS,BL1-H,,6312,68,92.824,10.203,20.604,1321,N/A,1179,N/A,1012,N/A,2882.36,N/A,218.24,N/A,171.98,N/A,14.59
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,G6,Experiment,None,,High_ROS,BL1-H,,4371,70,62.443,7.604,14.307,7337,N/A,1581,N/A,1025,N/A,15504.72,N/A,211.33,N/A,785.78,N/A,49.7
d032423-DCFCA-R5,DCFCA-DMSO,Cg-b1b2,,H6,Experiment,None,,High_ROS,BL1-H,,2637,49,53.816,3.99,8.46,1237,N/A,1146,N/A,1034,N/A,761.23,N/A,61.54,N/A,140.85,N/A,12.29
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,A11,Experiment,None,,High_ROS,BL1-H,,5518,113,48.832,6.462,18.173,1503,N/A,1197,N/A,1012,N/A,1692.8,N/A,112.64,N/A,203.12,N/A,16.97
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,A12,Experiment,None,,High_ROS,BL1-H,,6197,140,44.264,6.957,20.416,1668,N/A,1238,N/A,1023,N/A,1759.42,N/A,105.47,N/A,262.42,N/A,21.2
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,B11,Experiment,None,,High_ROS,BL1-H,,5600,134,41.791,5.997,18.471,1790,N/A,1160,N/A,1013,N/A,8467.36,N/A,473.02,N/A,148.26,N/A,12.78
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,,B12,Experiment,None,,High_ROS,BL1-H,,5022,178,28.213,5.08,16.637,1536,N/A,1155,N/A,1013,N/A,5460.06,N/A,355.49,N/A,148.26,N/A,12.84
