Plate,Sample,Treatment,Species,Gate,X Parameter,Count,%Total,%Gated,X Mean,X Median,X Peak,X SD,X %CV,X rSD,X %rCV
d032723-DCFCA-R8,H11,Ctrl,Sc,High_ROS,BL1-H,7871,4.927,39.977,1826,1263,1013,5322.05,291.43,247.59,19.6
d032723-DCFCA-R8,H12,Ctrl,Sc,High_ROS,BL1-H,2551,3.098,31.65,2146,1228,1025,6982.31,325.33,231.29,18.83
d032723-DCFCA-R8,A9,0Pi,Sc,High_ROS,BL1-H,12856,7.547,42.853,1464,1269,1047,1990.95,136,250.56,19.74
d032723-DCFCA-R8,A10,0Pi,Sc,High_ROS,BL1-H,8279,5.323,34.592,1563,1236,1012,2867.25,183.42,228.32,18.47
d032723-DCFCA-R8,B9,0.2mM,Sc,High_ROS,BL1-H,14372,7.136,64.284,2290,1371,1105,10597.8,462.81,335.07,24.44
d032723-DCFCA-R8,B10,0.2mM,Sc,High_ROS,BL1-H,6982,5.392,67.245,2177,1383,1048,8959.75,411.58,335.07,24.23
d032723-DCFCA-R8,C9,1mM,Sc,High_ROS,BL1-H,18932,13.311,69.457,2697,1425,1070,8677.67,321.73,378.06,26.53
d032723-DCFCA-R8,C10,1mM,Sc,High_ROS,BL1-H,12418,12.817,72.97,8932,1541,1130,20143.6,225.51,550.79,35.74
d032723-DCFCA-R8,D9,2mM,Sc,High_ROS,BL1-H,21674,14.97,72.247,8634,1530,1164,19072.26,220.9,538.93,35.24
d032723-DCFCA-R8,D10,2mM,Sc,High_ROS,BL1-H,14607,15.781,79.876,27832,2823,1070,38251.56,137.44,2647.92,93.8
d032723-DCFCA-R8,E9,10mM,Sc,High_ROS,BL1-H,23737,18.912,90.651,84546,71013,87654,78441.26,92.78,72270.82,101.77
d032723-DCFCA-R8,E10,10mM,Sc,High_ROS,BL1-H,18949,20.48,94.495,144124,127171,155581,108680.64,75.41,98555.83,77.5
d032723-DCFCA-R8,H9,Ctrl,Sc,High_ROS,BL1-H,8820,4.723,39.9,2199,1261,1013,8328.24,378.71,259.45,20.58
d032723-DCFCA-R8,H10,Ctrl,Sc,High_ROS,BL1-H,4547,3.391,32.244,2733,1227,1048,14228.1,520.67,217.94,17.76
d032623-DCFCA-R7,A11,0Pi,Sc,High_ROS,BL1-H,5552,5.611,18.507,1689,1215,1012,2281.68,135.08,232.77,19.16
d032623-DCFCA-R7,A12,0Pi,Sc,High_ROS,BL1-H,5060,5.415,16.867,1502,1181,1013,2883.8,191.99,182.36,15.44
d032623-DCFCA-R7,B11,0.2mM,Sc,High_ROS,BL1-H,5565,5.099,18.55,2938,1165,1012,9162.25,311.81,161.6,13.87
d032623-DCFCA-R7,B12,0.2mM,Sc,High_ROS,BL1-H,5134,4.69,17.113,2546,1156,1013,7493.83,294.29,152.71,13.21
d032623-DCFCA-R7,C11,1mM,Sc,High_ROS,BL1-H,12402,13.357,41.34,3625,1284,1035,8537.05,235.49,287.62,22.4
d032623-DCFCA-R7,C12,1mM,Sc,High_ROS,BL1-H,10649,11.939,35.497,3630,1255,1013,8536.39,235.14,265.39,21.15
d032623-DCFCA-R7,D11,2mM,Sc,High_ROS,BL1-H,15801,18.214,52.67,15518,3876,1012,18677.85,120.36,4209.1,108.59
d032623-DCFCA-R7,D12,2mM,Sc,High_ROS,BL1-H,15889,19.449,52.963,15968,5062,1013,18388.18,115.16,5961.53,117.77
d032623-DCFCA-R7,E11,10mM,Sc,High_ROS,BL1-H,22197,23.399,73.99,30013,30470,41292,21395.53,71.29,25656.39,84.2
d032623-DCFCA-R7,E12,10mM,Sc,High_ROS,BL1-H,22265,27.174,74.217,33427,34088,43339,22449.52,67.16,24421.39,71.64
d032623-DCFCA-R7,H11,Ctrl,Sc,High_ROS,BL1-H,4526,4.631,15.087,2536,1185,1012,5762.4,227.24,189.77,16.01
d032623-DCFCA-R7,H12,Ctrl,Sc,High_ROS,BL1-H,3715,4.029,12.383,2442,1186,1012,5412.73,221.66,194.22,16.38
d032623-DCFCA-R7,A5,0Pi,Cg,High_ROS,BL1-H,5389,8.383,17.963,1284,1187,1036,693.29,54.01,180.88,15.24
d032623-DCFCA-R7,A6,0Pi,Cg,High_ROS,BL1-H,6451,9.429,21.503,1279,1190,1012,444.97,34.8,186.81,15.7
d032623-DCFCA-R7,B5,0.2mM,Cg,High_ROS,BL1-H,3145,4.672,10.483,1550,1163,1013,2076.71,134.01,166.05,14.28
d032623-DCFCA-R7,B6,0.2mM,Cg,High_ROS,BL1-H,3792,5.849,12.64,1768,1178,1013,2005.57,113.45,188.29,15.98
d032623-DCFCA-R7,C5,1mM,Cg,High_ROS,BL1-H,5131,7.78,17.103,1300,1181,1013,1587.62,122.11,174.95,14.81
d032623-DCFCA-R7,C6,1mM,Cg,High_ROS,BL1-H,5701,8.8,19.003,1281,1182,1012,734.12,57.3,180.88,15.3
d032623-DCFCA-R7,D5,2mM,Cg,High_ROS,BL1-H,8148,11.899,27.16,1576,1210,1035,2228.8,141.4,206.82,17.1
d032623-DCFCA-R7,D6,2mM,Cg,High_ROS,BL1-H,8821,12.827,29.403,1689,1222,1012,1966.92,116.45,217.94,17.83
d032623-DCFCA-R7,E5,10mM,Cg,High_ROS,BL1-H,7315,11.715,24.383,1298,1196,1035,570.61,43.97,192.74,16.12
d032623-DCFCA-R7,E6,10mM,Cg,High_ROS,BL1-H,7692,12.682,25.64,1320,1198,1012,674.38,51.1,196.44,16.4
d032623-DCFCA-R7,F5,20mM,Cg,High_ROS,BL1-H,4740,7.891,15.8,1447,1187,1012,1939.49,134.08,182.36,15.36
d032623-DCFCA-R7,F6,20mM,Cg,High_ROS,BL1-H,5792,9.857,19.307,1355,1193,1012,1167.86,86.16,191.26,16.03
d032623-DCFCA-R7,G5,100mM,Cg,High_ROS,BL1-H,11534,19.425,38.447,25781,18459,49010,25499.96,98.91,23877.27,129.35
d032623-DCFCA-R7,G6,100mM,Cg,High_ROS,BL1-H,10383,17.568,34.61,19543,8338,1012,23546,120.48,10720.68,128.58
d032623-DCFCA-R7,H5,Ctrl,Cg,High_ROS,BL1-H,2368,3.746,7.893,1297,1137,1012,2361.83,182.04,136.4,12
