Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,single cell,FSC-H,FSC-W,30000,107,280.374,35.216,44.789,465378,88,469800,87,496518,86,114058.02,8.27,24.51,9.38,125814.92,8.90,26.78,10.22
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,cell,FSC-H,FSC-W,66980,107,625.981,78.625,78.625,559610,112,553656,103,543705,87,169503.29,32.32,30.29,28.97,181601.45,26.69,32.80,25.91
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,single cell,BL1-H,SSC-A,30000,107,280.374,35.216,35.216,695,121015,640,116599,746,97296,718.46,38719.06,103.45,32.00,265.39,39105.06,41.47,33.54
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,High ROS,BL1-H,SSC-A,3755,107,35.093,4.408,12.517,1347,152468,1145,148828,1004,150436,1834.21,43796.68,136.22,28.73,148.26,40737.40,12.95,27.37
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,single cell,BL1-H,SSC-A,30000,107,280.374,35.216,35.216,695,121015,640,116599,746,97296,718.46,38719.06,103.45,32.00,265.39,39105.06,41.47,33.54
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H11.fcs,H11,Experiment,None,,single cell,BL1-H,SSC-A,30000,107,280.374,35.216,35.216,695,121015,640,116599,746,97296,718.46,38719.06,103.45,32.00,265.39,39105.06,41.47,33.54
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,N/A,All Events,N/A,N/A,95456,163,585.620,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,cell,FSC-H,SSC-H,68851,163,422.399,72.129,72.129,542324,140946,531294,134594,527340,130009,172570.57,52987.68,31.82,37.59,183984.73,51956.23,34.63,38.60
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,High_ROS,BL1-H,,4116,163,25.252,4.312,13.720,1516,N/A,1170,N/A,1035,N/A,3038.16,N/A,200.44,N/A,171.98,N/A,14.70,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,2000_gate,BL1-H,,246,163,1.509,0.258,0.820,6239,N/A,2593,N/A,2021,N/A,11427.59,N/A,183.15,N/A,718.32,N/A,27.71,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,500_gate,BL1-H,,21428,163,131.460,22.448,71.427,869,N/A,754,N/A,587,N/A,1373.76,N/A,158.04,N/A,222.39,N/A,29.49,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,single cell,BL1-H,,30000,163,184.049,31.428,31.428,727,N/A,648,N/A,587,N/A,1183.46,N/A,162.70,N/A,278.73,N/A,43.01,N/A
d032423-DCFCA-R5,DCFCA-DMSO,Sc-b1b2,H12.fcs,H12,Experiment,None,,single cell,FSC-H,FSC-W,30000,163,184.049,31.428,43.572,462658,87,462942,86,496678,86,115770.16,8.41,25.02,9.63,124238.91,8.90,26.84,10.34
