date,Species,Treatment,Time_point_min,Buds,unbuded,total_count,Replicate,Percent_unbud,Percent_bud,genotype
d041023,Sc,0Pi,45,50,40,90,R3,44.44444444,55.55555556,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,30,49,79,R2,62.02531646,37.97468354,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,30,50,80,R2,62.5,37.5,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,25,42,67,R2,62.68656716,37.31343284,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,23,42,65,R2,64.61538462,35.38461538,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,17,49,66,R3,74.24242424,25.75757576,S288C; ura3::pho84pr-GFP
d041023,Sc,0Pi,135,21,43,64,R3,67.1875,32.8125,S288C; ura3::pho84pr-GFP
d041123,Cg,Ctrl,0,87,28,115,R2,24.34782609,75.65217391,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,Ctrl,0,49,17,66,R3,25.75757576,74.24242424,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,Ctrl,0,51,23,74,R3,31.08108108,68.91891892,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,Ctrl,0,52,16,68,R3,23.52941176,76.47058824,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,Ctrl,0,43,29,72,R3,40.27777778,59.72222222,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,35,16,51,R2,31.37254902,68.62745098,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,36,18,54,R2,33.33333333,66.66666667,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,42,11,53,R2,20.75471698,79.24528302,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,41,10,51,R2,19.60784314,80.39215686,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,36,26,62,R3,41.93548387,58.06451613,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,47,16,63,R3,25.3968254,74.6031746,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,42,13,55,R3,23.63636364,76.36363636,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,45,43,18,61,R3,29.50819672,70.49180328,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,18,35,53,R2,66.03773585,33.96226415,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,17,29,46,R2,63.04347826,36.95652174,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,10,28,38,R2,73.68421053,26.31578947,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,7,33,40,R2,82.5,17.5,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,16,50,66,R3,75.75757576,24.24242424,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,15,40,55,R3,72.72727273,27.27272727,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,14,39,53,R3,73.58490566,26.41509434,BG2; plasmid_pCU-CgPho84pr-yeGFP
d041123,Cg,0Pi,135,6,41,47,R3,87.23404255,12.76595745,BG2; plasmid_pCU-CgPho84pr-yeGFP
