Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d041823-0min-tpd3-tip41-R2,0min,0min,D4.fcs,D4,Experiment,None,,single cell,FSC-H,FSC-W,13477,48,280.771,44.923,47.694,491857,88,480922,87,455637,86,104754.04,7.90,21.30,8.94,103228.99,7.41,21.46,8.52
d041823-0min-tpd3-tip41-R2,0min,0min,D4.fcs,D4,Experiment,None,,cell,FSC-H,FSC-W,28257,48,588.688,94.190,94.190,549519,111,526597,101,461826,86,144962.90,34.47,26.38,31.08,146024.24,23.72,27.73,23.49
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,N/A,All Events,N/A,N/A,30000,55,545.455,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,cell,FSC-H,SSC-H,27115,55,493.000,90.383,90.383,587128,124740,568618,119537,510835,119888,155828.40,41519.07,26.54,33.28,167166.11,34430.42,29.40,28.80
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,12374,55,224.982,41.247,99.911,511005,527063,505348,516532,441399,490286,109059.46,130739.73,21.34,24.81,108343.22,135254.63,21.44,26.19
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,single cell,FSC-H,FSC-A,12385,55,225.182,41.283,41.283,511251,527367,505448,516822,441399,490286,109364.81,131091.09,21.39,24.86,108407.71,135284.28,21.45,26.18
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,CTA1-GFP,BL1-H,,12374,55,224.982,41.247,41.247,5653,N/A,5146,N/A,5288,N/A,2605.78,N/A,46.09,N/A,2020.78,N/A,39.27,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,single cell,FSC-H,FSC-W,12385,55,225.182,41.283,45.676,511251,90,505448,89,441399,86,109364.81,8.44,21.39,9.41,108407.71,8.90,21.45,10.00
d041823-0min-tpd3-tip41-R2,0min,0min,E3.fcs,E3,Experiment,None,,cell,FSC-H,FSC-W,27115,55,493.000,90.383,90.383,587128,113,568618,104,510835,86,155828.40,33.49,26.54,29.60,167166.11,25.20,29.40,24.23
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,N/A,All Events,N/A,N/A,30000,57,526.316,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,cell,FSC-H,SSC-H,27791,57,487.561,92.637,92.637,550039,120461,527050,113791,508870,113683,161132.56,44223.92,29.29,36.71,165757.64,37032.38,31.45,32.54
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,14243,57,249.877,47.477,99.972,476818,488830,471449,478118,453792,463657,108476.20,127040.09,22.75,25.99,111653.12,133193.82,23.68,27.86
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,single cell,FSC-H,FSC-A,14247,57,249.947,47.490,47.490,476919,488948,471505,478235,453792,463657,108629.05,127217.45,22.78,26.02,111678.33,133257.57,23.69,27.86
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,CTA1-GFP,BL1-H,,14243,57,249.877,47.477,47.477,5488,N/A,4902,N/A,6233,N/A,2814.82,N/A,51.29,N/A,2265.41,N/A,46.21,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,single cell,FSC-H,FSC-W,14247,57,249.947,47.490,51.265,476919,89,471505,88,453792,86,108629.05,7.93,22.78,8.94,111678.33,8.90,23.69,10.11
d041823-0min-tpd3-tip41-R2,0min,0min,F3.fcs,F3,Experiment,None,,cell,FSC-H,FSC-W,27791,57,487.561,92.637,92.637,550039,107,527050,99,508870,86,161132.56,29.50,29.29,27.56,165757.64,20.76,31.45,20.97
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,N/A,All Events,N/A,N/A,30000,63,476.190,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,cell,FSC-H,SSC-H,27653,63,438.937,92.177,92.177,553947,121362,530195,114803,439412,117754,162716.03,44414.75,29.37,36.60,169508.62,37395.62,31.97,32.57
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13774,63,218.635,45.913,99.956,475036,488400,471327,479552,439518,482253,107478.03,126385.62,22.63,25.88,108020.75,131144.86,22.92,27.35
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,single cell,FSC-H,FSC-A,13780,63,218.730,45.933,45.933,475179,488563,471391,479626,439518,482253,107688.45,126602.36,22.66,25.91,108151.22,131194.53,22.94,27.35
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,CTA1-GFP,BL1-H,,13774,63,218.635,45.913,45.913,5415,N/A,4848,N/A,5810,N/A,2867.72,N/A,52.96,N/A,2324.72,N/A,47.95,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,single cell,FSC-H,FSC-W,13780,63,218.730,45.933,49.832,475179,89,471391,88,439518,86,107688.45,7.93,22.66,8.91,108151.22,8.90,22.94,10.11
d041823-0min-tpd3-tip41-R2,0min,0min,G3.fcs,G3,Experiment,None,,cell,FSC-H,FSC-W,27653,63,438.937,92.177,92.177,553947,108,530195,100,439412,86,162716.03,30.44,29.37,28.07,169508.62,20.76,31.97,20.76
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,N/A,All Events,N/A,N/A,30000,75,400.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,cell,FSC-H,SSC-H,27333,75,364.440,91.110,91.110,562065,123066,538705,115716,482391,113668,163601.38,45561.77,29.11,37.02,174153.61,38707.72,32.33,33.45
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,13415,75,178.867,44.717,99.993,477492,490650,472091,479312,441337,441312,105992.16,124390.93,22.20,25.35,106471.43,125889.05,22.55,26.26
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,single cell,FSC-H,FSC-A,13416,75,178.880,44.720,44.720,477518,490675,472091,479317,441337,441312,106030.27,124421.33,22.20,25.36,106478.11,125890.53,22.55,26.26
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,CTA1-GFP,BL1-H,,13415,75,178.867,44.717,44.717,5735,N/A,5129,N/A,5885,N/A,2972.49,N/A,51.83,N/A,2314.34,N/A,45.12,N/A
d041823-0min-tpd3-tip41-R2,0min,0min,H3.fcs,H3,Experiment,None,,single cell,FSC-H,FSC-W,13416,75,178.880,44.720,49.084,477518,89,472091,88,441337,87,106030.27,7.91,22.20,8.85,106478.11,7.41,22.55,8.42
