Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count_MO_MM,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent,ASR_score,Experimenter
d080222,yH154,Sc,wt,45min,2hr,Mock,1000,237,1,1,100,100,1,JL
d080222,yH154,Sc,wt,45min,2hr,2mM,1000,20,0.08438818565,0.08108108108,8.438818565,8.108108108,0.9608108108,JL
d080222,yH154,Sc,wt,45min,2hr,4mM,1000,9,0.03797468354,0.0694980695,3.797468354,6.94980695,1.83011583,JL
d080222,yH154,Sc,wt,45min,2hr,6mM,1000,18,0.07594936709,0.08108108108,7.594936709,8.108108108,1.067567568,JL
d080222,yH154,Sc,wt,45min,2hr,8mM,500,9,0.01898734177,0.03088803089,1.898734177,3.088803089,1.626769627,JL
d080222,yH154,Sc,wt,45min,2hr,10mM,500,16,0.03375527426,0.01737451737,3.375527426,1.737451737,0.5147200772,JL
d080422,yH001,Cg,wt,45min,2hr,Mock,1000,671,1,1,100,100,1,JL
d080422,yH001,Cg,wt,45min,2hr,20mM,1000,144,0.2146050671,0.346,21.46050671,34.6,1.612263889,JL
d080422,yH001,Cg,wt,45min,2hr,40mM,1000,104,0.1549925484,0.27,15.49925484,27,1.742019231,JL
d080422,yH001,Cg,wt,45min,2hr,60mM,1000,31,0.04619970194,0.294,4.619970194,29.4,6.363677419,JL
d080422,yH001,Cg,wt,45min,2hr,80mM,1000,9,0.01341281669,0.198,1.341281669,19.8,14.762,JL
d080422,yH001,Cg,wt,45min,2hr,100mM,1000,3,0.004470938897,0.144,0.4470938897,14.4,32.208,JL
d080422,yH154,Sc,wt,45min,2hr,Mock,1000,379,1,1,100,100,1,JL
d080422,yH154,Sc,wt,45min,2hr,2mM,1000,18,0.04749340369,0.0447761194,4.749340369,4.47761194,0.9427860697,JL
d080422,yH154,Sc,wt,45min,2hr,4mM,1000,23,0.06068601583,0.08955223881,6.068601583,8.955223881,1.475665152,JL
d080422,yH154,Sc,wt,45min,2hr,6mM,1000,7,0.01846965699,0.02487562189,1.846965699,2.487562189,1.346837242,JL
d080422,yH154,Sc,wt,45min,2hr,8mM,500,21,0.02770448549,0.02736318408,2.770448549,2.736318408,0.9876806444,JL
d080422,yH154,Sc,wt,45min,2hr,10mM,500,6,0.007915567282,0.01492537313,0.7915567282,1.492537313,1.885572139,JL
d081122,yH001,Cg,wt,45min,2hr,Mock,1000,714,1,1,100,100,1,JL
