"genotype","pi.max","pi.max.Rtowt","h2o2.max","h2o2.max.Rtowt"
"msn2_ko",41979,1.06007575757576,95963,1.09991288998923
"msn2msn4_ko",26100,0.659090909090909,93739,1.07442174999427
"msn4_ko",27596,0.696868686868687,88046,1.00916947481833
"wt",39600,1,87246,1
