# Species: Sc = S. cerevisiae; Cg = C. glabrata
# Len_1: length of primary stress treatment
# Repl: replicate ID on the same day of experiment
# MM, PM, MO, PO: dilution rate corrected CFU values
# r: survival rate without the primary stress
# rp: survival rate with the primary stress
# ASR_score: rP/rM
# low_count: whether the original CFU counts were lower than three
Date	Species	Len_1	Repl	MM	PM	MO	PO	r	rp	ASR_score	low_count
06/06/20	Cg	90 min	1	11400	5950	11	664	9.649122807017544e-4	0.11159663865546218	115.65469824293353	FALSE
06/06/20	Cg	90 min	2	7325	4525	10	629	0.0013651877133105802	0.13900552486187845	101.82154696132596	FALSE
06/06/20	Cg	90 min	3	10225	6925	11	852	0.0010757946210268948	0.12303249097472924	114.36429274696424	FALSE
06/06/20	Sc	90 min	1	1375	3950	0.4	0.8	2.909090909090909e-4	2.0253164556962027e-4	0.6962025316455697	TRUE
06/06/20	Sc	90 min	2	5975	1775	1.6	9.200000000000001	2.677824267782427e-4	0.005183098591549296	19.355633802816904	FALSE
06/06/20	Sc	90 min	3	2375	525	2	5.6000000000000005	8.421052631578948e-4	0.010666666666666668	12.666666666666668	FALSE
06/06/20	Cg	135 min	1	16575	11875	14	1436	8.446455505279034e-4	0.12092631578947369	143.1681203007519	FALSE
06/06/20	Cg	135 min	2	21000	10625	22	1329	0.0010476190476190477	0.12508235294117648	119.39679144385028	FALSE
06/06/20	Cg	135 min	3	19025	11950	10	1546	5.256241787122207e-4	0.1293723849372385	246.13096234309623	FALSE
06/06/20	Sc	135 min	1	8450	7650	0.4	0.8	4.7337278106508875e-5	1.0457516339869282e-4	2.2091503267973858	TRUE
06/06/20	Sc	135 min	2	10525	7850	0.4	8.8	3.800475059382423e-5	0.0011210191082802548	29.496815286624205	TRUE
06/06/20	Sc	135 min	3	10525	7200	0.4	9.6	3.800475059382423e-5	0.0013333333333333333	35.083333333333336	TRUE
06/06/20	Cg	45 min	1	14700	11425	1	2	6.802721088435374e-5	1.75054704595186e-4	2.5733041575492344	FALSE
06/06/20	Cg	45 min	2	10500	11550	1	4	9.523809523809524e-5	3.463203463203463e-4	3.6363636363636362	FALSE
06/06/20	Cg	45 min	3	11375	10050	8	6	7.032967032967033e-4	5.970149253731343e-4	0.8488805970149254	FALSE
06/06/20	Sc	45 min	1	7425	5975	0.4	0.4	5.3872053872053874e-5	6.694560669456067e-5	1.2426778242677823	TRUE
06/06/20	Sc	45 min	2	7850	7350	0.8	0.4	1.0191082802547771e-4	5.4421768707482996e-5	0.5340136054421769	TRUE
06/06/20	Sc	45 min	3	6475	7450	0.4	0.4	6.177606177606178e-5	5.3691275167785237e-5	0.8691275167785235	TRUE
06/04/20	Cg	45 min	1	17000	15250	203	1002	0.011941176470588235	0.06570491803278689	5.502382298312202	FALSE
06/04/20	Cg	45 min	2	16300	12975	94	391	0.005766871165644172	0.030134874759152216	5.225515516746608	FALSE
06/04/20	Cg	45 min	3	16075	15125	271	656	0.016858475894245724	0.043371900826446284	2.572705925406362	FALSE
06/04/20	Sc	45 min	1	8225	7600	22.8	37.6	0.002772036474164134	0.004947368421052632	1.7847414589104338	FALSE
06/04/20	Sc	45 min	2	8525	9775	46.4	74	0.005442815249266862	0.0075703324808184145	1.3908854396331247	FALSE
06/04/20	Sc	45 min	3	9825	8125	51.2	95.2	0.005211195928753181	0.011716923076923078	2.2484134615384614	FALSE
06/01/20	Cg	45 min	1	15825	12375	316	812	0.01996840442338073	0.06561616161616161	3.2859992328346754	FALSE
06/01/20	Cg	45 min	2	13975	13425	191	289	0.013667262969588551	0.021527001862197394	1.575077754053448	FALSE
06/01/20	Cg	45 min	3	13375	10500	158	412	0.011813084112149532	0.03923809523809524	3.3215792646172395	FALSE
06/01/20	Sc	45 min	1	1725	6150	27.6	44.4	0.016	0.007219512195121951	0.4512195121951219	FALSE
06/01/20	Sc	45 min	2	6875	6725	38.4	51.6	0.005585454545454545	0.0076728624535315985	1.3737221189591078	FALSE
06/01/20	Sc	45 min	3	6650	6400	58.800000000000004	69.2	0.008842105263157896	0.010812500000000001	1.2228422619047619	FALSE
05/30/20	Cg	45 min	1	16475	17325	273.6	874.8000000000001	0.016606980273141125	0.0504935064935065	3.040498974709501	FALSE
05/30/20	Cg	45 min	2	13000	14300	192.8	574.4	0.014830769230769232	0.040167832167832165	2.708411920030177	FALSE
05/30/20	Cg	45 min	3	12175	14425	91.2	324	0.0074907597535934295	0.022461005199306758	2.9984949375171026	FALSE
05/30/20	Sc	45 min	1	7675	9350	180.4	144	0.023504885993485342	0.015401069518716578	0.6552284288034907	FALSE
05/30/20	Sc	45 min	2	1300	3750	148.4	178	0.11415384615384616	0.047466666666666664	0.4158131176999101	FALSE
05/30/20	Sc	45 min	3	7425	7650	154.4	162	0.020794612794612796	0.021176470588235293	1.018363303870771	FALSE
