# Date: experiment date, A/B/letters is biological replicates done on the same day
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary
# Len_1: length of primary stress treatment
# Len_2: length of secondary stress treatment
# Dilutions: dilutions for CFU assay
# Count: raw counts on CFU plates
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
08/10/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	60 mM	1000	124
08/10/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	80 mM	1000	103
08/10/23	yH732	Cg	rim15::RIM15	PO	45 min	2 hr	100 mM	1000	97
08/10/23	yH001	Cg	wt	MM	45 min	2 hr	0 mM	1000	434
08/10/23	yH001	Cg	wt	MO	45 min	2 hr	60 mM	100	407
08/10/23	yH001	Cg	wt	MO	45 min	2 hr	80 mM	100	301
08/10/23	yH001	Cg	wt	MO	45 min	2 hr	100 mM	100	219
08/10/23	yH001	Cg	wt	PM	45 min	2 hr	0 mM	1000	304
08/10/23	yH001	Cg	wt	PO	45 min	2 hr	60 mM	1000	91
08/10/23	yH001	Cg	wt	PO	45 min	2 hr	80 mM	1000	97
08/10/23	yH001	Cg	wt	PO	45 min	2 hr	100 mM	1000	102
08/08/23	yH610	Cg	rim15::His3	MM	45 min	2 hr	0 mM	1000	408
08/08/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	60 mM	100	153
08/08/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	80 mM	100	79
08/08/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	100 mM	100	31
08/08/23	yH610	Cg	rim15::His3	PM	45 min	2 hr	0 mM	1000	406
08/08/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	60 mM	100	822
08/08/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	80 mM	100	626
08/08/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	100 mM	100	418
08/08/23	yH731	Cg	rim15::RIM15	MM	45 min	2 hr	0 mM	1000	256
08/08/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	60 mM	100	76
08/08/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	80 mM	100	57
08/08/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	100 mM	100	25
08/08/23	yH731	Cg	rim15::RIM15	PM	45 min	2 hr	0 mM	1000	197
08/08/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	60 mM	1000	64
08/08/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	80 mM	1000	63
08/08/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	100 mM	1000	38
08/08/23	yH002	Cg	wt	MM	45 min	2 hr	0 mM	1000	230
08/08/23	yH002	Cg	wt	MO	45 min	2 hr	60 mM	100	262
08/08/23	yH002	Cg	wt	MO	45 min	2 hr	80 mM	100	218
08/08/23	yH002	Cg	wt	MO	45 min	2 hr	100 mM	100	98
08/08/23	yH002	Cg	wt	PM	45 min	2 hr	0 mM	1000	426
08/08/23	yH002	Cg	wt	PO	45 min	2 hr	60 mM	1000	139
08/08/23	yH002	Cg	wt	PO	45 min	2 hr	80 mM	1000	109
08/08/23	yH002	Cg	wt	PO	45 min	2 hr	100 mM	1000	92
08/09/23	yH610	Cg	rim15::His3	MM	45 min	2 hr	0 mM	1000	580
08/09/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	60 mM	100	169
08/09/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	80 mM	100	73
08/09/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	100 mM	100	44
08/09/23	yH610	Cg	rim15::His3	PM	45 min	2 hr	0 mM	1000	433
08/09/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	60 mM	100	1176
08/09/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	80 mM	100	524
08/09/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	100 mM	100	413
08/09/23	yH731	Cg	rim15::RIM15	MM	45 min	2 hr	0 mM	1000	286
08/09/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	60 mM	100	190
08/09/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	80 mM	100	92
08/09/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	100 mM	100	43
08/09/23	yH731	Cg	rim15::RIM15	PM	45 min	2 hr	0 mM	1000	384
08/09/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	60 mM	1000	118
08/09/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	80 mM	1000	57
08/09/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	100 mM	1000	51
08/09/23	yH002	Cg	wt	MM	45 min	2 hr	0 mM	1000	506
08/09/23	yH002	Cg	wt	MO	45 min	2 hr	60 mM	100	185
08/09/23	yH002	Cg	wt	MO	45 min	2 hr	80 mM	100	72
08/09/23	yH002	Cg	wt	MO	45 min	2 hr	100 mM	100	34
08/09/23	yH002	Cg	wt	PM	45 min	2 hr	0 mM	1000	339
08/09/23	yH002	Cg	wt	PO	45 min	2 hr	60 mM	1000	76
08/09/23	yH002	Cg	wt	PO	45 min	2 hr	80 mM	1000	62
08/09/23	yH002	Cg	wt	PO	45 min	2 hr	100 mM	1000	63
08/10/23	yH610	Cg	rim15::His3	MM	45 min	2 hr	0 mM	1000	276
08/10/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	60 mM	100	262
08/10/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	80 mM	100	126
08/10/23	yH610	Cg	rim15::His3	MO	45 min	2 hr	100 mM	100	79
08/10/23	yH610	Cg	rim15::His3	PM	45 min	2 hr	0 mM	1000	366
08/10/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	60 mM	100	842
08/10/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	80 mM	100	586
08/10/23	yH610	Cg	rim15::His3	PO	45 min	2 hr	100 mM	100	464
08/10/23	yH731	Cg	rim15::RIM15	MM	45 min	2 hr	0 mM	1000	249
08/10/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	60 mM	100	256
08/10/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	80 mM	100	151
08/10/23	yH731	Cg	rim15::RIM15	MO	45 min	2 hr	100 mM	100	65
08/10/23	yH731	Cg	rim15::RIM15	PM	45 min	2 hr	0 mM	1000	237
08/10/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	60 mM	1000	47
08/10/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	80 mM	1000	81
08/10/23	yH731	Cg	rim15::RIM15	PO	45 min	2 hr	100 mM	1000	78
08/10/23	yH002	Cg	wt	MM	45 min	2 hr	0 mM	1000	424
08/10/23	yH002	Cg	wt	MO	45 min	2 hr	60 mM	100	478
08/10/23	yH002	Cg	wt	MO	45 min	2 hr	80 mM	100	269
08/10/23	yH002	Cg	wt	MO	45 min	2 hr	100 mM	100	239
08/10/23	yH002	Cg	wt	PM	45 min	2 hr	0 mM	1000	324
08/10/23	yH002	Cg	wt	PO	45 min	2 hr	60 mM	1000	119
08/10/23	yH002	Cg	wt	PO	45 min	2 hr	80 mM	1000	112
08/10/23	yH002	Cg	wt	PO	45 min	2 hr	100 mM	1000	82
