Date,Species,Strain,Genotype,Len_1,Len_2,H2O2,Dilutions,Count_MO_MM,Count_PO_PM,MO/MM,PO/PM,MO/MM_percent,PO/PM_percent,ASR_score,Experimenter
d090723,Cg,yH397,msn4Δ,45min,2hr,40mM,100,7,271,0.004320987654,0.2007407407,0.4320987654,20.07407407,46.45714285,JL
d090723,Cg,yH397,msn4Δ,45min,2hr,60mM,100,2,142,0.001234567901,0.1051851852,0.1234567901,10.51851852,85.20000003,JL
d090823,Cg,yH001,wt,45min,2hr,Mock,1000,156,131,1,1,100,100,1,JL
d090823,Cg,yH001,wt,45min,2hr,60mM,100,109,384,0.06987179487,0.293129771,6.987179487,29.3129771,4.195251769,JL
d090823,Cg,yH001,wt,45min,2hr,80mM,100,25,281,0.01602564103,0.2145038168,1.602564103,21.45038168,13.38503816,JL
d090823,Cg,yH001,wt,45min,2hr,100mM,100,16,157,0.01025641026,0.1198473282,1.025641026,11.98473282,11.6851145,JL
d090823,Cg,yH422,skn7Δ,45min,2hr,Mock,1000,231,125,1,1,100,100,1,JL
d090823,Cg,yH422,skn7Δ,45min,2hr,10mM,100,363,665,0.1571428571,0.532,15.71428571,53.2,3.385454546,JL
d090823,Cg,yH422,skn7Δ,45min,2hr,20mM,100,212,651,0.09177489177,0.5208,9.177489177,52.08,5.674754717,JL
d090823,Cg,yH422,skn7Δ,45min,2hr,30mM,100,47,353,0.02034632035,0.2824,2.034632035,28.24,13.87965957,JL
d090823,Cg,yH396,msn4Δ,45min,2hr,Mock,1000,215,88,1,1,100,100,1,JL
d090823,Cg,yH396,msn4Δ,45min,2hr,20mM,100,360,404,0.1674418605,0.4590909091,16.74418605,45.90909091,2.741792929,JL
d090823,Cg,yH396,msn4Δ,45min,2hr,40mM,100,58,209,0.02697674419,0.2375,2.697674419,23.75,8.803879309,JL
d090823,Cg,yH396,msn4Δ,45min,2hr,60mM,100,12,124,0.005581395349,0.1409090909,0.5581395349,14.09090909,25.24621212,JL
