# Date: The experiments conducted date
# Strain: lab strain ID
# Species: Cg - C. glabrata; Sc - S. cerevisiae
# Genotype: wt - wild type strains without any genetic manipulation
# Group: treatment type; MM - Mock treatment as the primary stress and secondary stress; MO - Mock treatment as the primary stress and H2O2 stress as the secondary stress; PM: Phosphate starvation as the primary stress and mock treatment as the secondary stress; PO: phosphate starvation as the primary stress and H2O2 as the secondarys tress,,,,,,,,,,,,
# Len_1: Primary stress treatment time
# Len_2: Secondaty stress treatment time
# H2O2: H2O2 stress concentration in mM; Mock - 0mM
# Dilutions: the final dilutions for the culture used for CFU Count
# Count: CFU count
# MO/MM: survival rate on H2O2 stress without the primary stress (calculated from the corresponding MO count)
# PO/PM: survival rate on H2O2 stress with phosphate starvation as the primary stress (calculated from the corresponding PO count)
# Experimenter: the person who did the experiments
Date,Strain,Species,Genotype,Group,Len_1,Len_2,H2O2,Dilutions,Count,MO/MM,PO/PM,Experimenter
d080222,yH001,Cg,wt,MO,45min,2hr,100mM,1000,6,0.011320755,,JL
d080222,yH001,Cg,wt,PM,45min,2hr,Mock,1000,526,,1,JL
d080222,yH001,Cg,wt,PO,45min,2hr,20mM,1000,181,,0.344106464,JL
d080222,yH001,Cg,wt,PO,45min,2hr,40mM,1000,144,,0.273764259,JL
d080222,yH001,Cg,wt,PO,45min,2hr,60mM,1000,133,,0.252851711,JL
d080222,yH001,Cg,wt,PO,45min,2hr,80mM,1000,82,,0.155893536,JL
d080222,yH001,Cg,wt,PO,45min,2hr,100mM,1000,41,,0.077946768,JL
d080222,yH154,Sc,wt,MM,45min,2hr,Mock,1000,237,1,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,2mM,1000,20,0.084388186,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,4mM,1000,9,0.037974684,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,6mM,1000,18,0.075949367,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,8mM,500,9,0.018987342,,JL
d080222,yH154,Sc,wt,MO,45min,2hr,10mM,500,16,0.033755274,,JL
d080222,yH154,Sc,wt,PM,45min,2hr,Mock,1000,259,,1,JL
d080222,yH154,Sc,wt,PO,45min,2hr,2mM,1000,21,,0.081081081,JL
d080222,yH154,Sc,wt,PO,45min,2hr,4mM,1000,18,,0.06949807,JL
d080222,yH154,Sc,wt,PO,45min,2hr,6mM,1000,21,,0.081081081,JL
d080222,yH154,Sc,wt,PO,45min,2hr,8mM,500,16,,0.030888031,JL
d080222,yH154,Sc,wt,PO,45min,2hr,10mM,500,9,,0.017374517,JL
d080422,yH001,Cg,wt,MM,45min,2hr,Mock,1000,671,1,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,20mM,1000,144,0.214605067,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,40mM,1000,104,0.154992548,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,60mM,1000,31,0.046199702,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,80mM,1000,9,0.013412817,,JL
d080422,yH001,Cg,wt,MO,45min,2hr,100mM,1000,3,0.004470939,,JL
d080422,yH001,Cg,wt,PM,45min,2hr,Mock,1000,500,,1,JL
d080422,yH001,Cg,wt,PO,45min,2hr,20mM,1000,173,,0.346,JL
d080422,yH001,Cg,wt,PO,45min,2hr,40mM,1000,135,,0.27,JL
d080422,yH001,Cg,wt,PO,45min,2hr,60mM,1000,147,,0.294,JL
d080422,yH001,Cg,wt,PO,45min,2hr,80mM,1000,99,,0.198,JL
d080422,yH001,Cg,wt,PO,45min,2hr,100mM,1000,72,,0.144,JL
d080422,yH154,Sc,wt,MM,45min,2hr,Mock,1000,379,1,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,2mM,1000,18,0.047493404,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,4mM,1000,23,0.060686016,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,6mM,1000,7,0.018469657,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,8mM,500,21,0.027704485,,JL
d080422,yH154,Sc,wt,MO,45min,2hr,10mM,500,6,0.007915567,,JL
d080422,yH154,Sc,wt,PM,45min,2hr,Mock,1000,402,,1,JL
d080422,yH154,Sc,wt,PO,45min,2hr,2mM,1000,18,,0.044776119,JL
d080422,yH154,Sc,wt,PO,45min,2hr,4mM,1000,36,,0.089552239,JL
d080422,yH154,Sc,wt,PO,45min,2hr,6mM,1000,10,,0.024875622,JL
d080422,yH154,Sc,wt,PO,45min,2hr,8mM,500,22,,0.027363184,JL
d080422,yH154,Sc,wt,PO,45min,2hr,10mM,500,12,,0.014925373,JL
d081122,yH001,Cg,wt,MM,45min,2hr,Mock,1000,714,1,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,20mM,1000,128,0.179271709,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,40mM,1000,72,0.100840336,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,60mM,1000,31,0.043417367,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,80mM,1000,14,0.019607843,,JL
d081122,yH001,Cg,wt,MO,45min,2hr,100mM,1000,8,0.011204482,,JL
d081122,yH001,Cg,wt,PM,45min,2hr,Mock,1000,402,,1,JL
d081122,yH001,Cg,wt,PO,45min,2hr,20mM,1000,115,,0.286069652,JL
d081122,yH001,Cg,wt,PO,45min,2hr,40mM,1000,125,,0.310945274,JL
d081122,yH001,Cg,wt,PO,45min,2hr,60mM,1000,101,,0.251243781,JL
d081122,yH001,Cg,wt,PO,45min,2hr,80mM,1000,67,,0.166666667,JL
d081122,yH001,Cg,wt,PO,45min,2hr,100mM,1000,55,,0.13681592,JL
d081122,yH154,Sc,wt,MM,45min,2hr,Mock,1000,291,1,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,2mM,1000,13,0.04467354,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,4mM,1000,11,0.037800687,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,6mM,1000,9,0.030927835,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,8mM,500,11,0.018900344,,JL
d081122,yH154,Sc,wt,MO,45min,2hr,10mM,500,7,0.012027491,,JL
d081122,yH154,Sc,wt,PM,45min,2hr,Mock,1000,256,,1,JL
d081122,yH154,Sc,wt,PO,45min,2hr,2mM,1000,18,,0.0703125,JL
d081122,yH154,Sc,wt,PO,45min,2hr,4mM,1000,14,,0.0546875,JL
d081122,yH154,Sc,wt,PO,45min,2hr,6mM,1000,11,,0.04296875,JL
d081122,yH154,Sc,wt,PO,45min,2hr,8mM,500,13,,0.025390625,JL
d081122,yH154,Sc,wt,PO,45min,2hr,10mM,500,3,,0.005859375,JL
d090122,yH181,Cg,wt,MM,45min,2hr,Mock,1000,965,1,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,15mM,1000,219,0.226943005,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,20mM,1000,173,0.179274611,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,25mM,1000,180,0.186528497,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,30mM,1000,150,0.155440415,,HT
d090122,yH181,Cg,wt,MO,45min,2hr,35mM,1000,89,0.092227979,,HT
