Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,34,882.353,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28024,34,824.235,93.413,93.413,517804,139362,486327,127900,418943,128058,158666.51,53062.69,30.64,38.08,162667.16,42549.14,33.45,33.27
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15584,34,458.353,51.947,99.923,468658,487531,448377,461566,418929,400406,120276.98,143021.64,25.66,29.34,119702.90,145568.34,26.70,31.54
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,15596,34,458.706,51.987,51.987,468864,487825,448515,461674,418929,400406,120514.69,143387.44,25.70,29.39,119891.19,145646.91,26.73,31.55
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,15584,34,458.353,51.947,51.947,7557,N/A,6771,N/A,7847,N/A,3715.45,N/A,49.17,N/A,2894.78,N/A,42.76,N/A
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,15596,34,458.706,51.987,55.652,468864,87,448515,86,418929,86,120514.69,8.42,25.70,9.67,119891.19,8.90,26.73,10.34
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28024,34,824.235,93.413,93.413,517804,107,486327,95,418943,86,158666.51,45.42,30.64,42.27,162667.16,17.79,33.45,18.73
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,36,833.333,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,27972,36,777.000,93.240,93.240,529696,140483,500974,130483,424905,121830,157862.40,51374.18,29.80,36.57,165639.78,42031.71,33.06,32.21
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15014,36,417.056,50.047,99.927,479229,499133,461222,474325,424955,406493,120711.17,144955.28,25.19,29.04,120740.72,149952.39,26.18,31.61
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,15025,36,417.361,50.083,50.083,479447,499419,461342,474398,424955,406493,120961.84,145294.60,25.23,29.09,120805.21,150257.06,26.19,31.67
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,15014,36,417.056,50.047,50.047,8304,N/A,7707,N/A,7723,N/A,3398.31,N/A,40.92,N/A,2807.30,N/A,36.43,N/A
d043021-0min-H2O2-R1-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,15025,36,417.361,50.083,53.714,479447,87,461342,86,424955,86,120961.84,8.50,25.23,9.74,120805.21,8.90,26.19,10.34
