Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,28,1071.429,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28731,28,1026.107,95.770,95.770,497547,130697,467665,121456,408605,125905,154346.12,49733.16,31.02,38.05,152394.97,38953.83,32.59,32.07
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15205,28,543.036,50.683,99.849,459849,474785,441162,450180,406563,431172,120198.16,142332.48,26.14,29.98,119608.75,142381.49,27.11,31.63
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,15228,28,543.857,50.760,50.760,460277,475427,441372,450441,406563,431172,120690.44,143199.78,26.22,30.12,119825.21,142627.60,27.15,31.66
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,15205,28,543.036,50.683,50.683,7236,N/A,6563,N/A,7473,N/A,3390.43,N/A,46.85,N/A,2754.67,N/A,41.97,N/A
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,15228,28,543.857,50.760,53.002,460277,86,441372,84,406563,86,120690.44,8.20,26.22,9.59,119825.21,7.41,27.15,8.82
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28731,28,1026.107,95.770,95.770,497547,109,467665,94,408605,86,154346.12,50.70,31.02,46.71,152394.97,17.79,32.59,18.93
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,28,1071.429,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28664,28,1023.714,95.547,95.547,505627,132384,476798,123769,431045,123876,151632.91,48345.78,29.99,36.52,150486.12,38317.06,31.56,30.96
d042921-0min-0Pi-R3-2-4I,0min,0Pi-0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15830,28,565.357,52.767,99.905,466238,482460,448738,458162,414555,402370,117790.30,140374.24,25.26,29.10,117681.37,141775.11,26.22,30.94
