Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28921,32,903.781,96.403,96.403,484220,127549,458406,119830,416812,125979,148340.00,46894.62,30.63,36.77,137951.48,35683.22,30.09,29.78
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16547,32,517.094,55.157,99.940,450208,468235,434659,446752,416746,428953,111171.12,132666.70,24.69,28.33,106231.25,129963.23,24.44,29.09
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16557,32,517.406,55.190,55.190,450338,468460,434790,446944,416746,428953,111311.78,132963.68,24.72,28.38,106254.97,130053.67,24.44,29.10
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16547,32,517.094,55.157,55.157,11187,N/A,9726,N/A,14188,N/A,7015.80,N/A,62.71,N/A,5672.43,N/A,58.32,N/A
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16557,32,517.406,55.190,57.249,450338,86,434790,85,416746,86,111311.78,7.76,24.72,9.02,106254.97,7.41,24.44,8.72
d050621-0min-0Pi-R1-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28921,32,903.781,96.403,96.403,484220,106,458406,92,416812,86,148340.00,48.34,30.63,45.53,137951.48,14.83,30.09,16.12
d050621-0min-0Pi-R1-6-8I,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,31,967.742,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d050621-0min-0Pi-R1-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28800,31,929.032,96.000,96.000,510846,129189,486285,122201,478223,128006,147686.35,45596.43,28.91,35.29,144607.61,35566.09,29.74,29.10
d050621-0min-0Pi-R1-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15582,31,502.645,51.940,99.885,471641,490050,458735,469933,459705,410535,114040.90,137271.05,24.18,28.01,114077.91,139961.14,24.87,29.78
