Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,30000,32,937.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,SSC-H,28855,32,901.719,96.183,96.183,497965,132758,470620,123581,416777,123863,149167.85,49045.73,29.96,36.94,147770.74,37336.32,31.40,30.21
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16659,32,520.594,55.530,99.880,461583,480287,443786,456181,416703,414746,116521.37,138843.46,25.24,28.91,115448.58,139693.53,26.01,30.62
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-A,16679,32,521.219,55.597,55.597,461930,480777,443943,456373,416703,414746,116915.77,139495.24,25.31,29.01,115604.25,140031.57,26.04,30.68
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,CTA1-GFP,BL1-H,,16659,32,520.594,55.530,55.530,9466,N/A,8414,N/A,10588,N/A,5029.11,N/A,53.13,N/A,4068.25,N/A,48.35,N/A
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,single cell,FSC-H,FSC-W,16679,32,521.219,55.597,57.803,461930,86,443943,85,416703,86,116915.77,8.07,25.31,9.34,115604.25,7.41,26.04,8.72
d051121-0min-0Pi-R2-6-8I,0min,0min,A1.fcs,A1,Experiment,None,,cell,FSC-H,FSC-W,28855,32,901.719,96.183,96.183,497965,106,470620,93,416777,86,149167.85,46.01,29.96,43.49,147770.74,16.31,31.40,17.54
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,N/A,All Events,N/A,N/A,30000,39,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,SSC-H,28529,39,731.513,95.097,95.097,520084,134774,492998,125812,431052,127987,150326.35,48543.86,28.90,36.02,151781.17,38283.70,30.79,30.43
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,16166,39,414.513,53.887,99.876,479007,498577,463867,477002,406472,402429,116170.25,139924.13,24.25,28.06,117789.60,143319.23,25.39,30.05
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-A,16186,39,415.026,53.953,53.953,479355,499077,464008,477221,406472,402429,116563.63,140570.27,24.32,28.17,117958.62,143640.22,25.42,30.10
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,CTA1-GFP,BL1-H,,16166,39,414.513,53.887,53.887,8925,N/A,7198,N/A,9830,N/A,7351.52,N/A,82.37,N/A,4774.71,N/A,66.34,N/A
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,single cell,FSC-H,FSC-W,16186,39,415.026,53.953,56.735,479355,87,464008,86,406472,86,116563.63,8.24,24.32,9.47,117958.62,7.41,25.42,8.62
d051121-0min-0Pi-R2-6-8I,0min,0min,A2.fcs,A2,Experiment,None,,cell,FSC-H,FSC-W,28529,39,731.513,95.097,95.097,520084,106,492998,95,431052,86,150326.35,42.94,28.90,40.54,151781.17,17.79,30.79,18.73
d051121-0min-0Pi-R2-6-8I,0min,0min,A3.fcs,A3,Experiment,None,N/A,All Events,N/A,N/A,30000,39,769.231,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051121-0min-0Pi-R2-6-8I,0min,0min,A3.fcs,A3,Experiment,None,,cell,FSC-H,SSC-H,28703,39,735.974,95.677,95.677,532113,135433,507857,127985,453669,123961,149067.70,46465.88,28.01,34.31,153447.61,36565.36,30.21,28.57
d051121-0min-0Pi-R2-6-8I,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,15926,39,408.359,53.087,99.925,487259,508354,473232,487394,433203,455687,115312.29,140047.75,23.67,27.55,118391.54,145156.17,25.02,29.78
d051121-0min-0Pi-R2-6-8I,0min,0min,A3.fcs,A3,Experiment,None,,single cell,FSC-H,FSC-A,15938,39,408.667,53.127,53.127,487504,508665,473371,487517,433203,455687,115615.56,140457.60,23.72,27.61,118553.88,145440.09,25.04,29.83
d051121-0min-0Pi-R2-6-8I,0min,0min,A3.fcs,A3,Experiment,None,,CTA1-GFP,BL1-H,,15926,39,408.359,53.087,53.087,7531,N/A,6842,N/A,7851,N/A,3747.52,N/A,49.76,N/A,3063.05,N/A,44.77,N/A
