Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d051221-0min-0Pi-R3-6-8I,0min,0min,D4.fcs,D4,Experiment,None,,single cell,FSC-H,FSC-W,14775,43,343.605,49.250,53.035,505543,88,490449,87,449588,86,117640.89,8.62,23.27,9.76,125410.17,8.90,25.57,10.22
d051221-0min-0Pi-R3-6-8I,0min,0min,D4.fcs,D4,Experiment,None,,cell,FSC-H,FSC-W,27859,43,647.884,92.863,92.863,555629,110,534534,98,449505,86,150569.69,43.43,27.10,39.66,165416.64,19.27,30.95,19.67
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,N/A,All Events,N/A,N/A,30000,25,1200.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,SSC-H,24014,25,960.560,80.047,80.047,600837,178319,624172,175309,687098,181290,179662.57,62462.21,29.90,35.03,192994.49,63533.12,30.92,36.24
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,10490,25,419.600,34.967,99.460,547843,572634,550543,574008,687077,510733,137679.18,164595.34,25.13,28.74,158651.54,193202.79,28.82,33.66
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-A,10547,25,421.880,35.157,35.157,549198,574449,551872,575403,687077,510733,138706.89,166079.52,25.26,28.91,159376.53,194585.32,28.88,33.82
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,CTA1-GFP,BL1-H,,10490,25,419.600,34.967,34.967,24645,N/A,23289,N/A,25629,N/A,10656.09,N/A,43.24,N/A,9729.56,N/A,41.78,N/A
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,single cell,FSC-H,FSC-W,10547,25,421.880,35.157,43.920,549198,89,551872,88,687077,86,138706.89,9.80,25.26,10.95,159376.53,10.38,28.88,11.79
d051221-120min-0Pi-R3-6-8I,120min,120min,A5.fcs,A5,Experiment,None,,cell,FSC-H,FSC-W,24014,25,960.560,80.047,80.047,600837,117,624172,103,687098,86,179662.57,51.85,29.90,44.50,192994.49,26.69,30.92,25.91
d051221-120min-0Pi-R3-6-8I,120min,120min,A6.fcs,A6,Experiment,None,N/A,All Events,N/A,N/A,30000,40,750.000,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
