Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,N/A,All Events,N/A,N/A,30000,51,588.235,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,cell,FSC-H,SSC-H,25550,51,500.980,85.167,85.167,640056,164019,664848,160913,715757,173014,174277.19,54573.22,27.23,33.27,185095.19,53160.85,27.84,33.04
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,9550,51,187.255,31.833,99.624,560307,582556,559516,579722,513120,519179,130303.20,154717.20,23.26,26.56,142901.14,176309.31,25.54,30.41
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,single cell,FSC-H,FSC-A,9586,51,187.961,31.953,31.953,561303,583751,559926,580567,513120,519179,131117.09,155668.75,23.36,26.67,143357.04,177019.47,25.60,30.49
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,CTA1-GFP,BL1-H,,9550,51,187.255,31.833,31.833,14185,N/A,13541,N/A,14194,N/A,5667.00,N/A,39.95,N/A,5167.60,N/A,38.16,N/A
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,single cell,FSC-H,FSC-W,9586,51,187.961,31.953,37.519,561303,91,559926,90,513120,86,131117.09,9.98,23.36,11.01,143357.04,11.86,25.60,13.18
d041723-120min-tpd3-tip41-R1,120min,120min,B5.fcs,B5,Experiment,None,,cell,FSC-H,FSC-W,25550,51,500.980,85.167,85.167,640056,118,664848,112,715757,92,174277.19,35.60,27.23,30.12,185095.19,32.62,27.84,29.12
d041723-120min-tpd3-tip41-R1,120min,120min,B6.fcs,B6,Experiment,None,N/A,All Events,N/A,N/A,30000,49,612.245,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d041723-120min-tpd3-tip41-R1,120min,120min,B6.fcs,B6,Experiment,None,,cell,FSC-H,SSC-H,24030,49,490.408,80.100,80.100,625637,157648,658505,153757,721863,154626,191116.91,54640.46,30.55,34.66,187519.24,52343.19,28.48,34.04
d041723-120min-tpd3-tip41-R1,120min,120min,B6.fcs,B6,Experiment,None,,CTA1-GFP,FSC-H,FSC-A,8241,49,168.184,27.470,99.794,552517,577203,553803,578105,556207,635890,128263.78,151655.13,23.21,26.27,138491.15,167352.92,25.01,28.95
